ID;ID_Ocorrencia;Cidade;AeroPorto;Data;Hora;Falha_Ocorrencia;Modelo;Tipo_Motor;Fato_Contribuinte;Aspector;Ano
82591;82591;PB;BAYEUX;04/06/2023;15:15:00;COLISÃO COM AVE;58;;Sem Informaçao;Sem Informaçao;2023
82590;82590;MG;CONFINS;02/06/2023;11:15:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82589;82589;SC;NAVEGANTES;01/06/2023;22:30:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82587;82587;SP;SÃO PAULO;01/06/2023;23:40:00;COLISÃO COM AVE;737-8 MAX;;Sem Informaçao;Sem Informaçao;2023
82586;82586;AL;MACEIÓ;01/06/2023;14:20:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82585;82585;BA;SALVADOR;31/05/2023;19:45:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82584;82584;SP;GUARULHOS;29/05/2023;12:20:00;COLISÃO COM AVE;B737-8MAX;NULL;Sem Informaçao;Sem Informaçao;2023
82583;82583;CE;FORTALEZA;27/05/2023;21:15:00;COLISÃO COM AVE;737-8 MAX;NULL;Sem Informaçao;Sem Informaçao;2023
82582;82582;GO;GOIÂNIA;08/12/2023;16:10:00;COLISÃO NO SOLO;EMB-810C;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82581;82581;PA;BELÉM;27/05/2023;15:45:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82580;82580;PR;LONDRINA;23/05/2023;20:45:00;COLISÃO COM AVE;737-8HX;JATO;Sem Informaçao;Sem Informaçao;2023
82579;82579;SP;SÃO PAULO;21/05/2023;23:20:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82578;82578;DF;BRASÍLIA;20/05/2023;23:15:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82577;82577;BA;SALVADOR;20/05/2023;16:45:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82576;82576;SP;GUARULHOS;15/05/2023;21:25:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82574;82574;SP;SÃO PAULO;10/05/2023;19:30:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82573;82573;PA;BELÉM;10/05/2023;16:41:00;COLISÃO COM AVE;737-248C;;Sem Informaçao;Sem Informaçao;2023
82572;82572;PR;MARINGÁ;09/05/2023;13:50:00;COLISÃO COM AVE;737-8EH;TURBOEIXO;Sem Informaçao;Sem Informaçao;2023
82571;82571;RS;PASSO FUNDO;09/05/2023;20:30:00;COLISÃO COM AVE;737-7BX;JATO;Sem Informaçao;Sem Informaçao;2023
